rentree_scolaire,region_academique,academie,departement,commune,numero_etablissement,denomination,patronyme,secteur,effectif_total_en_premiere_generale,effectif_total_filles,effectif_total_garcons,0105_humanites_litterature_et_philosophie_filles,0105_humanites_litterature_et_philosophie_garcons,0241_litterature_et_lca_latin_filles,0241_litterature_et_lca_latin_garcons,0242_litterature_et_lca_grec_filles,0242_litterature_et_lca_grec_garcons,0300_langues_litterature_et_cultures_etrangeres_et_regionales_filles,0300_langues_litterature_et_cultures_etrangeres_et_regionales_garcons,0439_hist_geo_geopolitique_sc_politiques_filles,0439_hist_geo_geopolitique_sc_politiques_garcons,0507_sciences_economiques_et_sociales_filles,0507_sciences_economiques_et_sociales_garcons,0613_mathematiques_filles,0613_mathematiques_garcons,0623_physique_chimie_filles,0623_physique_chimie_garcons,0629_sciences_de_la_vie_et_de_la_terre_filles,0629_sciences_de_la_vie_et_de_la_terre_garcons,0673_sciences_de_l_ingenieur_filles,0673_sciences_de_l_ingenieur_garcons,0747_numerique_et_sciences_informatiques_filles,0747_numerique_et_sciences_informatiques_garcons,0825_danse_filles,0825_danse_garcons,0832_musique_filles,0832_musique_garcons,0901_arts_plastiques_filles,0901_arts_plastiques_garcons,2757_histoire_des_arts_filles,2757_histoire_des_arts_garcons,2785_theatre_filles,2785_theatre_garcons,2786_arts_du_cirque_filles,2786_arts_du_cirque_garcons,2852_cinema_audiovisuel_filles,2852_cinema_audiovisuel_garcons,3045_biologie_ecologie_filles,3045_biologie_ecologie_garcons,01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_filles,01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_garcons,02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_so,02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s0,03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_filles,03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_garcons,04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et_,04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et0,05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_filles,05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_garcons,06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_cultures,06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_culture0,07_mathematiques_physique_chimie_sciences_de_l_ingenieur_filles,07_mathematiques_physique_chimie_sciences_de_l_ingenieur_garcons,08_mathematiques_physique_chimie_sciences_economiques_et_sociales_filles,08_mathematiques_physique_chimie_sciences_economiques_et_sociales_garcons,09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_filles,09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_garcons,10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_filles,10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_garcons,11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_,11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la0,12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s,12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_0,13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_filles,13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_garcons,14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_filles,14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_garcons,15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_t,15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_0,16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_filles,16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons,17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_filles,17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons,18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_filles,18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_garcons,autres_combinaisons_filles,autres_combinaisons_garcons,1087_educ_physique_pratique_cult_sportive_filles,1087_educ_physique_pratique_cult_sportive_garcons
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,YZEURE,0030038A,LPO LYCEE DES METIERS,JEAN MONNET,PUBLIC,45,30,15,0,0,0,0,0,0,0,0,0,0,0,0,15,30,15,29,12,10,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,BRIOUDE,0430053Z,LYCEE POLYVALENT PRIVE,SAINT JULIEN,PRIVE SOUS CONTRAT,57,23,34,13,4,0,0,0,0,12,9,14,8,13,10,19,14,14,12,13,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,7,2,4,2,0,1,2,0,0,5,0,0,0,1,0,1,0,1,2,1,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,8,3,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430021P,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE WEIL,PUBLIC,237,82,155,37,8,2,1,0,0,45,13,67,31,59,24,94,56,58,45,69,41,0,0,11,21,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,44,25,13,3,12,4,12,1,2,13,9,3,0,0,2,1,0,0,6,1,2,4,1,0,1,2,1,0,2,1,5,0,2,4,4,0,37,20,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,MONISTROL-SUR-LOIRE,0430058E,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE DAME DU CHATEAU,PRIVE SOUS CONTRAT,205,85,120,20,6,0,0,0,0,41,16,51,28,69,38,82,67,45,42,50,24,2,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,18,7,18,12,9,4,0,7,3,1,2,11,3,5,8,4,6,1,1,3,4,0,1,1,0,0,1,1,2,0,0,0,0,0,6,10,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,AMBERT,0630001J,LYCEE POLYVALENT,BLAISE PASCAL,PUBLIC,89,34,55,10,7,0,0,0,0,12,12,9,5,18,14,43,21,28,15,39,9,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,2,2,0,0,0,1,8,2,2,0,0,2,0,2,2,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,16,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,COURPIERE,0631032E,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE SOUS CONTRAT,35,12,23,4,0,0,0,0,0,11,3,16,7,13,7,12,9,6,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,3,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,THIERS,0630069H,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN ZAY,PUBLIC,36,30,6,0,0,0,0,0,0,0,0,0,0,0,0,6,30,6,28,0,0,4,23,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,AUBENAS,0070064G,LYC GEN TECH PRIVE,JULES FROMENT,PRIVE SOUS CONTRAT,137,71,66,27,10,0,0,0,0,21,15,32,28,22,30,41,58,24,38,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,3,3,7,12,7,4,0,0,10,4,0,0,3,6,0,2,0,3,0,0,1,0,0,3,1,1,0,0,3,0,1,2,1,1,9,3,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,ARDECHE,TOURNON-SUR-RHONE,0070029U,LPO LYCEE DES METIERS,GABRIEL FAURE,PUBLIC,148,62,86,20,5,0,0,0,0,37,18,36,18,37,22,53,52,36,48,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,11,4,7,5,5,3,0,0,8,0,0,0,1,6,4,1,2,1,1,0,3,0,3,12,1,5,0,0,3,0,0,0,2,0,6,5,,
2020,AUVERGNE-RHONE-ALPES,GRENOBLE,DROME,CREST,0260072M,LYCEE GENERAL ET TECHNOL PR,SAINT LOUIS,PRIVE SOUS CONTRAT,29,17,12,0,0,0,0,0,0,0,0,5,4,7,6,11,15,5,11,8,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,0,0,0,0,0,0,7,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,,
