rentree_scolaire,region_academique,academie,departement,commune,numero_etablissement,denomination,patronyme,secteur,effectif_total_en_terminale_generale,effectif_total_garcons,effectif_total_filles,0105_humanites_litterature_et_philosophie_filles,0105_humanites_litterature_et_philosophie_garcons,0241_litterature_et_lca_latin_filles,0241_litterature_et_lca_latin_garcons,0242_litterature_et_lca_grec_filles,0242_litterature_et_lca_grec_garcons,0300_langues_litterature_et_cultures_etrangeres_et_regionales_filles,0300_langues_litterature_et_cultures_etrangeres_et_regionales_garcons,0439_hist_geo_geopolitique_sc_politiques_filles,0439_hist_geo_geopolitique_sc_politiques_garcons,0507_sciences_economiques_et_sociales_filles,0507_sciences_economiques_et_sociales_garcons,0613_mathematiques_filles,0613_mathematiques_garcons,0623_physique_chimie_filles,0623_physique_chimie_garcons,0629_sciences_de_la_vie_et_de_la_terre_filles,0629_sciences_de_la_vie_et_de_la_terre_garcons,0747_numerique_et_sciences_informatiques_filles,0747_numerique_et_sciences_informatiques_garcons,0825_danse_filles,0825_danse_garcons,0832_musique_filles,0832_musique_garcons,0901_arts_plastiques_filles,0901_arts_plastiques_garcons,2757_histoire_des_arts_filles,2757_histoire_des_arts_garcons,2785_theatre_filles,2785_theatre_garcons,2786_arts_du_cirque_filles,2786_arts_du_cirque_garcons,2852_cinema_audiovisuel_filles,2852_cinema_audiovisuel_garcons,3045_biologie_ecologie_filles,3045_biologie_ecologie_garcons,4806_sciences_de_l_ingenieur_et_sc_physiques_filles,4806_sciences_de_l_ingenieur_et_sc_physiques_garcons,0001_mathematiques_physique_chimie_filles,0001_mathematiques_physique_chimie_garcons,0002_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_filles,0002_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_garcons,0003_physique_chimie_sciences_de_la_vie_et_de_la_terre_filles,0003_physique_chimie_sciences_de_la_vie_et_de_la_terre_garcons,0004_mathematiques_sciences_de_la_vie_et_de_la_terre_filles,0004_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons,0005_mathematiques_sciences_economiques_et_sociales_filles,0005_mathematiques_sciences_economiques_et_sociales_garcons,0006_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_filles,0006_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_garcons,0007_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_filles,0007_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_garcons,0008_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_filles,0008_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_garcons,0009_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_filles,0009_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_garcons,0010_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_filles,0010_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_garcons,0011_mathematiques_numerique_et_sciences_informatiques_filles,0011_mathematiques_numerique_et_sciences_informatiques_garcons,0012_humanites_litterature_et_philosophie_sciences_economiques_et_sociales_filles,0012_humanites_litterature_et_philosophie_sciences_economiques_et_sociales_garcons,0013_hist_geo_geopolitique_sc_politiques_mathematiques_filles,0013_hist_geo_geopolitique_sc_politiques_mathematiques_garcons,0014_mathematiques_sciences_inge_et_phy_filles,0014_mathematiques_sciences_inge_et_phy_garcons,0015_hist_geo_geopolitique_sc_politiques_sciences_de_la_vie_et_de_la_terre_filles,0015_hist_geo_geopolitique_sc_politiques_sciences_de_la_vie_et_de_la_terre_garcons,autres_combinaisons_filles,autres_combinaisons_garcons
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,321,134,187,25,6,0,0,0,0,41,17,62,37,56,32,56,77,56,54,61,25,0,9,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,1,8,22,43,27,22,34,10,15,12,6,4,13,4,13,7,8,3,4,2,8,2,0,7,6,0,4,3,1,7,5,1,21,7
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,YZEURE,0030038A,LPO LYCEE DES METIERS,JEAN MONNET,PUBLIC,38,26,12,0,0,0,0,0,0,0,0,0,0,0,0,7,20,7,16,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,5,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150030B,LYCEE POLYVALENT,DE HAUTE AUVERGNE,PUBLIC,113,37,76,22,3,0,0,0,0,9,4,24,9,21,12,34,21,22,10,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,11,4,4,1,12,7,2,3,3,1,0,0,11,2,0,4,4,1,0,0,5,0,2,0,0,0,0,3,4,2
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150051Z,LYCEE GENERAL PRIVE,LA PRESENTATION,PRIVE SOUS CONTRAT,23,13,10,0,0,0,0,0,0,0,0,0,6,1,5,4,5,8,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,6,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430953C,LYCEE POLYVALENT,EMMANUEL CHABRIER,PUBLIC,71,19,52,3,0,0,0,0,0,12,2,10,5,26,11,8,5,17,7,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,5,15,4,6,1,0,1,9,2,1,0,0,0,6,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430065M,LYCEE GEN.ET TECHNOL.PRIVE,SAINT-GABRIEL,PRIVE SOUS CONTRAT,64,21,43,0,0,0,0,0,0,6,1,20,11,15,8,8,7,17,9,15,4,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,6,10,2,0,1,0,1,1,1,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,6,4
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CHAMALIERES,0631070W,LYC GEN TECH PRIVE DES METIERS,SAINTE THECLE,PRIVE SOUS CONTRAT,87,28,59,10,1,0,0,0,0,11,3,26,3,17,3,9,12,23,20,21,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,0,17,9,2,0,2,1,3,1,6,1,7,1,0,0,1,0,0,1,2,0,1,0,0,0,1,0,3,4
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630077S,LYCEE GENERAL ET TECHNOLOGIQUE,AMBROISE BRUGIERE,PUBLIC,228,95,133,6,1,0,0,0,0,16,5,51,35,62,43,53,53,21,18,45,24,3,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,45,30,11,4,32,17,6,11,9,2,0,2,4,0,0,0,2,1,1,10,0,0,1,1,0,0,1,2,12,1
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0631068U,LYCEE GEN.ET TECHNOL.PRIVE,GODEFROY DE BOUILLON,PRIVE SOUS CONTRAT,133,65,68,6,2,0,0,0,0,14,4,16,10,35,25,8,26,19,22,20,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0,0,1,8,5,13,14,6,12,8,1,3,1,3,9,1,0,0,2,2,3,12,0,0,0,0,1,0,0,0,1,7,0,0,19,10
2020,AUVERGNE-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0630052P,LYCEE GENERAL ET TECHNOLOGIQUE,C. ET P. VIRLOGEUX,PUBLIC,291,104,187,34,8,0,0,0,0,53,18,37,33,53,38,29,43,68,31,87,33,0,0,2,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,12,17,22,23,56,12,8,17,4,5,12,7,6,5,7,2,8,2,12,1,0,0,7,1,0,3,0,0,2,0,31,9
